Sample,ARG,Count
E105,aph(3'')-I,4
E105,OXA,172
E105,CMY-132,4
E105,chloramphenicol_and_florfenicol_resistance,13
E105,CMY-133,6
E105,OXA-10,6
E105,OXA-11,5
E105,bacA,650
E105,OXA-14,5
E105,chloramphenicol_exporter,140
E105,OXA-16,5
E105,OXA-17,4
E105,AER-1,1
E105,basS,39
E105,mycinamicin-resistance_protein_myrB,1
E105,kdpE,55
E105,lsaC,19
E105,lsaE,30
E105,ADP-ribosylating_transferase_arr,5
E105,OXA-454,5
E105,OXA-142,3
E105,OpmB,3
E105,OpmD,1
E105,tlrB_conferring_tylosin_resistance,5
E105,OpmH,5
E105,mefA,156
E105,erm(36),1
E105,mefC,3
E105,tet(L),6
E105,puromycin_resistance_protein,3
E105,abeM,7
E105,clbA,8
E105,clbB,13
E105,clbC,12
E105,abeS,11
E105,TEM-90,3
E105,macA,451
E105,qacB,1
E105,macB,7366
E105,rphA,11
E105,rphB,18
E105,transcriptional_regulatory_protein_CpxR_cpxR,536
E105,qacG,41
E105,blt,3
E105,qacH,10
E105,vgaA,205
E105,vgaB,48
E105,vgaD,49
E105,vgaE,40
E105,lnuB,6
E105,lnuC,1
E105,CMY-46,9
E105,lnuD,1
E105,EmrB-QacA_family_major_facilitator_transporter,81
E105,TEM-215,3
E105,lnuF,2
E105,lnuG,2
E105,TEM-217,3
E105,rpsD_(ramA_or_sud2),1
E105,AAC(3)-Ib/AAC(6')-Ib'',2
E105,bpeF,33
E105,penA,720
E105,arlS,28
E105,efpA,3
E105,fosB,4
E105,otr(B),1
E105,Listeria_monocytogenes_mprF,2
E105,ADC-12,3
E105,VatI,2
E105,ADC-13,3
E105,ADC-14,1
E105,ADC-15,1
E105,cmlA,10
E105,vanHB,18
E105,ErmB,2
E105,ADC-16,3
E105,ErmC,1
E105,vanTG,16
E105,ADC-17,3
E105,vanXI,1
E105,ADC-18,1
E105,ADC-19,3
E105,vanTrL,6
E105,TEM,20
E105,fosX,21
E105,cdeA,5
E105,catB,69
E105,ErmT,2
E105,PBP-1A,491
E105,PBP-1B,112
E105,tet32,56
E105,tet34,36
E105,tet36,30
E105,tet37,1
E105,tet39,1
E105,msrA,338
E105,SHV-97,5
E105,msrC,265
E105,msbA,58
E105,msrE,27
E105,Erm(30),1
E105,ampC,3
E105,CTX-M-110,2
E105,CTX-M-38,2
E105,evgS,72
E105,CTX-M-113,2
E105,adeA,2
E105,adeB,144
E105,adeC,36
E105,adeF,2
E105,aadA,28
E105,adeG,1
E105,adeH,3
E105,adeI,5
E105,adeJ,23
E105,aadE,1
E105,adeK,10
E105,adeL,31
E105,aac(3)-I,23
E105,TriA,9
E105,adeN,1
E105,TriC,19
E105,aadK,24
E105,adeR,58
E105,adeS,25
E105,TolC,442
E105,vanXYL,1
E105,tetA(46),35
E105,catB10,3
E105,CMY-108,6
E105,ceoB,28
E105,RlmA(II),2
E105,rosA,70
E105,rosB,406
E105,aph(3')-IIb,4
E105,Staphylococcys,8
E105,opmD,2
E105,Staphylococcus,4
E105,ADC-2,2
E105,opmE,2
E105,ADC-3,2
E105,ADC-5,2
E105,ADC-6,1
E105,ADC-7,2
E105,ompF,22
E105,ADC-8,1
E105,ompR,1009
E105,salA,51
E105,APH(6)-Id,1
E105,TEM-183,3
E105,CMX,12
E105,Acinetobacter_baumannii_ampC_beta-lactamase,2
E105,KLUY-2,1
E105,TEM-106,3
E105,TEM-148,3
E105,OprA,16
E105,aadA25,1
E105,Brucella_suis_mprF,4
E105,bcr-1,12
E105,mef(B),3
E105,sdeY,2
E105,patA,58
E105,catB3,4
E105,patB,12
E105,mecA,111
E105,mecB,7
E105,mecC,4
E105,mecD,5
E105,aac(3)-Ib-aac(6')-Ib,1
E105,OprZ,9
E105,poxtA,77
E105,SHV-103,5
E105,chloramphenicol_and_florfenicol_exporter,3
E105,SHV-104,5
E105,ANT(3'')-Ii-AAC(6')-IId,4
E105,bmr,3
E105,TaeA,81
E105,MexJ,7
E105,MexK,22
E105,MexL,3
E105,CTX-M-5,1
E105,MexS,5
E105,vatA,1
E105,vatB,21
E105,vatC,2
E105,MexV,1
E105,vatD,1
E105,vatE,8
E105,vatF,2
E105,vatG,2
E105,MexZ,1
E105,CMY-12,3
E105,CMY-53,4
E105,ermA,5
E105,CMY-13,6
E105,ermB,10
E105,CMY-55,3
E105,ereA,10
E105,ermC,10
E105,CMY-15,3
E105,CMY-56,3
E105,ereB,2
E105,CMY-57,3
E105,ermE,2
E105,CMY-99,3
E105,ermF,14
E105,ermG,1
E105,Mrx,1
E105,truncated_putative_response_regulator_ArlR,506
E105,OXA-233,4
E105,bacterial_regulatory_protein_LuxR,23
E105,efmA,1
E105,ermT,3
E105,CMY-2,3
E105,CMY-5,6
E105,CMY-7,3
E105,vanYA,1
E105,ADC-20,2
E105,ADC-21,3
E105,ADC-22,3
E105,ADC-23,2
E105,ADC-25,2
E105,cmeA,1
E105,cmeB,331
E105,Staphylococcus_mupA_conferring_resistance_to_mupirocin,35
E105,floR,131
E105,srmB,64
E105,cystathionine_beta-lyase_patB,121
E105,major_facilitator_superfamily_transporter,82
E105,tet41,1
E105,golS,24
E105,tet44,17
E105,MCR-1,23
E105,MCR-2,12
E105,MCR-3,12
E105,MCR-4,11
E105,MCR-5,12
E105,tolC,7
E105,OXA-663,6
E105,CTX-M-84,2
E105,LlmA_23S_ribosomal_RNA_methyltransferase,1
E105,class_A,19
E105,PBP-2X,146
E105,emeA,3
E105,tlcC,77
E105,class_C,68
E105,CTX-M-48,2
E105,CTX-M-122,2
E105,APH(3')-Ia,1
E105,CTX-M-125,2
E105,linG,2
E105,mdfA,90
E105,CMY-118,15
E105,CMY-119,3
E105,cmlA1,14
E105,oprA,6
E105,OXA-74,4
E105,oprC,13
E105,ANT(6)-Ia,1
E105,cmlA4,13
E105,cmlA5,14
E105,cmlA6,14
E105,oprJ,111
E105,smeB,19
E105,LEN,10
E105,smeC,14
E105,smeD,15
E105,oprM,207
E105,smeE,19
E105,oprN,167
E105,smeF,83
E105,two-component_system_response_regulator_EvgA,4
E105,baeR,64
E105,dfrA12,88
E105,baeS,55
E105,dfrA13,6
E105,dfrA14,8
E105,CRP,4
E105,smeR,63
E105,smeS,54
E105,TEM-110,3
E105,Erm(47),1
E105,TEM-196,3
E105,TEM-156,1
E105,QepA1,4
E105,QepA2,4
E105,mexA,156
E105,mexB,157
E105,mexC,32
E105,mepA,128
E105,mexD,303
E105,mexE,310
E105,mexF,385
E105,erm(34),1
E105,mexH,50
E105,mexI,12
E105,AxyY,4
E105,abcA,1
E105,mexM,1
E105,mexN,10
E105,tetB(60),34
E105,mexP,2
E105,mexQ,3
E105,dfrA1,9
E105,dfrA3,14
E105,mexT,88
E105,dfrA5,2
E105,mexW,106
E105,VEB-1b,2
E105,mexX,111
E105,dfrA8,9
E105,mexY,8
E105,AcrE,3
E105,AcrF,11
E105,PmrF,16
E105,cfrC,13
E105,oqxA,3
E105,oqxB,6
E105,AcrS,3
E105,tunicamycin_resistance_protein,1
E105,ICR-Mc,13
E105,OKP-B,10
E105,Moraxella_catarrhalis_M35,3
E105,dfrC,8
E105,dfrD,7
E105,dfrE,8
E105,dfrF,3
E105,dfrG,8
E105,CMY-61,1
E105,CMY-20,12
E105,CMY-21,6
E105,CMY-63,10
E105,arnA,405
E105,CMY-64,4
E105,dfrK,10
E105,CMY-28,12
E105,CMY-29,9
E105,OXA-240,6
E105,OXA-246,6
E105,tetA,95
E105,tetB,42
E105,tetC,4
E105,efrA,55
E105,efrB,31
E105,tetG,5
E105,fusC,2
E105,lsa,563
E105,tetL,14
E105,tetM,292
E105,tetO,178
