sample_id,ScoreType,nContigs,nARG,nMGE,nPAT,nARG_MGE,nARG_PAT,nARG_MGE_PAT,qARG,qMGE,qPAT,qARG_MGE,qARG_PAT,qARG_MGE_PAT,distance,RiskScore,Group
E105,Ecological,24983,199,2374,2967,25,62,6,0.007965,0.095025,0.118761,0.001001,0.002481688,0.00024,1.726746,30.626923,influent
E105,Human health,24983,14,2374,0,4,0,0,0.00056,0.095025,0,0.00016,0,0,1.99964,1.800962,influent
E108,Ecological,35735,19,795,168,4,0,0,0.000532,0.022247,0.004701,0.000112,0,0,1.731679,2.14516,final effluent
E108,Human health,35735,3,795,0,0,0,0,8.40E-05,0.022247,0,0,0,0,1.999958,0.209872,final effluent
E111,Ecological,26350,219,3035,2789,58,72,27,0.008311,0.11518,0.105844,0.002201,0.002732448,0.001025,1.725399,38.40547,influent
E111,Human health,26350,21,3035,40,10,0,0,0.000797,0.11518,0.001518,0.00038,0,0,1.999412,2.940635,influent
E114,Ecological,25020,47,1150,1307,4,7,1,0.001878,0.045963,0.052238,0.00016,0.000279776,4.00E-05,1.730851,6.924262,final effluent
E114,Human health,25020,2,1150,0,1,0,0,8.00E-05,0.045963,0,4.00E-05,0,0,1.99994,0.299755,final effluent
E115,Ecological,21367,159,1725,3109,25,61,9,0.007441,0.080732,0.145505,0.00117,0.00285487,0.000421,1.726844,30.059044,influent
E115,Human health,21367,14,1725,1,5,0,0,0.000655,0.080732,4.70E-05,0.000234,0,0,1.999555,2.222696,influent
E117,Ecological,36731,21,547,449,2,0,0,0.000572,0.014892,0.012224,5.40E-05,0,0,1.731689,2.086915,final effluent
E117,Human health,36731,0,547,1,0,0,0,0,0.014892,2.70E-05,0,0,0,2,0,final effluent
E121,Ecological,29164,179,3060,4919,47,64,16,0.006138,0.104924,0.168667,0.001612,0.002194486,0.000549,1.727265,27.630227,influent
E121,Human health,29164,25,3060,1,6,0,0,0.000857,0.104924,3.40E-05,0.000206,0,0,1.999469,2.656767,influent
E124,Ecological,16131,37,745,1340,7,9,2,0.002294,0.046184,0.08307,0.000434,0.000557932,0.000124,1.730405,9.500912,final effluent
E124,Human health,16131,4,745,0,0,0,0,0.000248,0.046184,0,0,0,0,1.999876,0.619867,final effluent
E127,Ecological,22455,135,1418,3177,7,59,3,0.006012,0.063149,0.141483,0.000312,0.002627477,0.000134,1.728329,21.487183,influent
E127,Human health,22455,5,1418,2,0,0,0,0.000223,0.063149,8.90E-05,0,0,0,1.999889,0.556622,influent
E129,Ecological,21524,55,688,2261,2,31,1,0.002555,0.031964,0.105046,9.30E-05,0.001440253,4.60E-05,1.730496,8.975349,final effluent
E129,Human health,21524,7,688,0,0,0,0,0.000325,0.031964,0,0,0,0,1.999837,0.812947,final effluent
E133,Ecological,20899,176,2237,2916,40,76,15,0.008421,0.107039,0.139528,0.001914,0.003636538,0.000718,1.725679,36.786364,influent
E133,Human health,20899,17,2237,3,8,0,0,0.000813,0.107039,0.000144,0.000383,0,0,1.999402,2.99001,influent
E136,Ecological,14468,93,884,1605,15,40,10,0.006428,0.0611,0.110934,0.001037,0.002764722,0.000691,1.727348,27.151843,final effluent
E136,Human health,14468,3,884,0,2,0,0,0.000207,0.0611,0,0.000138,0,0,1.999827,0.863935,final effluent
E139,Ecological,22513,206,1928,2992,46,69,22,0.00915,0.085639,0.132901,0.002043,0.003064896,0.000977,1.725035,40.503082,influent
